#CIDR_or_domain|SiteID|AnonString
140.142.29.0/24|PRISEM|PRISEM
.prisem.washington.edu|PRISEM|PRISEM
156.74.0.0/16|CTYSEA|CTYSEA
.seattle.gov|CTYSEA|CTYSEA
.seattle.wa.gov|CTYSEA|CTYSEA
.seattle.wa.us|CTYSEA|CTYSEA
.ci.seattle.wa.us|CTYSEA|CTYSEA
146.79.0.0/16|SEA-CHILD|SEA-CHILD
.childrens.sea.kids|SEA-CHILD|SEA-CHILD
.seattlechildrens.org|SEA-CHILD|SEA-CHILD
146.129.0.0/16|KING|KING
.kingcounty.gov|KING|KING
146.218.0.0/16|KITSAP|KITSAP
.co.kitsap.wa.us|KITSAP|KITSAP
205.234.64.0/20|PORTEV|PORTEV
.portofeverett.com|PORTEV|PORTEV
192.103.189.0/24|PORTTAC|PORTTAC
66.113.101.0/24|PORTTAC|PORTTAC
.portoftacoma.com|PORTTAC|PORTTAC
209.23.243.128/26|PORTOLY|PORTOLY
.portolympia.com|PORTOLY|PORTOLY
174.127.160.0/24|COB|BELLWA
12.17.152.0/23|COB|BELLWA
.bellevuewa.gov|COB|BELLWA
.ci.bellevue.wa.us|COB|BELLWA

